delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
65474,66976,80214,297238,49954,3887,803,493
91412,59685,58164,17625,2713,2627,339,759
21866,35037,53473,29632,3067,2177,1566,782
81937,65088,32493,11382,5491,3947,2155,273
47352,33026,29268,93066,10259,3067,932,756
230232,181676,20911,85529,24035,15601,5791,3115
357851,84939,60010,111503,46727,2932,871,742
126987,13963,808,13051,2624,945,283,376
99940,97002,26645,7059,4334,5790,2659,1317
24833,61588,36959,5469,3213,5974,972,700
152744,46545,10656,246456,29392,2860,943,1053
411136,69131,10393,143421,6240,1815,1490,483
45813,32138,19192,51815,11259,1319,994,641
108312,52602,21962,10576,5668,2044,891,692
20836,88732,5365,9098,3147,1485,706,949
112702,89158,4121,12039,7206,6123,1004,387
130922,23187,34500,46427,29233,5182,1147,361
42336,88576,60570,47697,10889,3415,1432,2292
101628,49838,13535,15601,4294,2128,1218,1815
50482,34954,9698,19357,3149,1325,836,537
122267,94047,6858,15275,36713,2895,1463,836
147751,86591,15512,140790,4728,1541,837,849
572376,242361,124329,181903,28831,4964,1218,1156
200669,40588,19655,15069,11550,4575,888,404
79631,92847,61980,173778,41129,1794,1095,929
576227,198545,115946,89369,10149,4978,3862,2619
320819,30021,15257,17182,4581,940,207,413
44475,31230,6301,136896,62514,2087,1299,726
603251,89349,84637,108177,6715,5131,738,932
72596,79452,16112,24196,7334,2238,1138,1455
383678,20037,21804,186351,15240,2886,804,437
56817,124575,8133,11819,9583,3792,679,1028
28132,14592,54476,24072,24118,1902,939,612
51554,36397,29535,36952,16805,2217,1043,609
139199,8679,2495,5263,2373,739,186,196
278495,136889,14302,44052,29789,5570,714,868
148807,16774,43085,148059,28705,4483,2122,696
40729,76568,5832,5277,2727,2220,719,467
26067,67624,30143,12697,8369,3283,815,1116
316670,81689,14960,8878,6144,4830,686,480
41296,87587,16138,11775,10288,1904,1332,402
52471,56566,18499,18804,13217,2240,1685,625
87522,108163,45422,10102,3794,2682,425,447
170798,54836,21651,10041,5533,2460,2137,726
142386,36233,58528,13184,8051,4047,604,443
122782,56014,27895,13890,6072,3499,1436,544
412582,88921,47325,178151,37541,7129,1871,546
213290,147830,89961,12338,16392,1701,586,887
118423,75007,30628,25344,13132,4281,1503,1836
32649,54121,26593,10069,1570,2792,496,981
122262,63833,5961,11835,4152,3172,927,877
38726,77668,59102,21885,5260,2951,724,730
47182,42204,55685,19091,7772,4132,750,757
16565,80080,37642,12361,6043,873,1016,664
11319,32594,9239,17186,13895,2391,787,1087
84707,56645,21507,10427,3063,5176,630,1137
66279,172028,28630,22961,5399,2502,676,324
184724,22457,24540,14271,6174,4013,377,721
62451,69424,11856,81520,11843,3432,357,307
31224,71246,49882,17428,4666,1673,766,912
161118,77153,21675,19488,12556,2685,688,1611
37643,59511,35163,19748,13999,2716,1847,730
209378,121267,22818,57667,21720,4148,688,744
171718,9667,6268,9133,4194,870,157,125
83639,52315,894,23370,18456,2069,1123,918
55819,164814,4027,36283,6762,979,725,363
61592,63416,6325,25325,12494,3024,691,673
56848,149038,39818,46097,10603,3073,1129,889
28916,146608,38967,79419,23613,2682,896,1018
17884,50275,20357,36722,14870,1567,1287,379
79838,103302,16035,30764,7932,2741,652,871
136380,56573,171147,41565,21676,2011,673,1072
210487,109282,12826,27118,33206,5054,1926,3905
626036,103796,18933,25027,18625,2813,1535,428
18700,74406,14042,9752,3061,1472,985,523
89325,50163,36331,8584,6741,2438,909,602
91178,23014,25262,16791,5597,2331,2801,474
72309,118672,7408,18551,8172,3585,1490,634
29362,73860,14109,3689,2883,1880,1015,332
76112,37701,19874,5098,17948,1525,1530,897
43822,41869,26226,8570,2552,2243,889,610
82444,73395,20500,9777,16182,2000,1650,711
142842,25591,7469,53907,19312,3368,715,554
32658,102650,63476,50208,11834,3110,1045,885
42685,130523,12191,12013,1481,3292,410,610
40720,65527,114140,17785,8697,2358,2445,770
32116,59119,28341,6679,3019,1478,485,495
220206,110094,23113,6340,1418,1323,382,698
78759,41534,6860,2484,6369,3176,1116,822
123204,65561,13878,5367,6662,2875,439,727
74416,6950,6433,28374,18791,3648,495,1244
31298,52357,5540,102753,8860,4178,984,1845
87777,61523,8793,73768,1822,1792,1212,541
55223,26359,72727,11230,54457,5307,1195,630
127470,66528,27206,346146,10959,9465,1043,1265
68480,72131,20663,9233,2919,1981,503,383
94437,32790,9677,35626,40884,2491,436,502
47586,48599,28257,57865,83634,2190,784,1365
230449,57961,16886,36217,19835,3346,836,1036
25624,57079,19675,12274,7594,1764,629,445
74108,28742,12823,88132,4065,1549,1156,1060
46006,54282,77595,15450,5972,3754,1057,1360
122599,27496,10859,30021,32795,3071,3232,685
290536,183542,33705,31587,24090,1945,1563,1391
134171,55637,41663,222873,47095,3908,1564,844
16016,48603,17623,15903,5722,2722,685,1068
115337,71300,30749,36153,3921,3224,556,409
24089,73603,66730,28005,71416,4924,924,1062
188080,52655,57125,30638,25836,3732,1259,1369
54045,19669,72748,160133,5292,4762,772,750
58579,138617,81266,12634,3596,1705,1103,777
480714,102040,49136,38183,16149,4332,2076,1145
101115,80616,25893,11348,7005,1376,661,782
24293,87266,94003,125221,6913,7401,732,740
120074,89038,8703,82014,9534,2709,1166,1814
124160,38658,19799,7883,7376,1079,252,115
140237,67666,66382,243894,33370,1403,410,769
309828,209393,2128,292629,25935,3397,606,352
32056,81332,5772,61776,13148,2171,800,249
132687,8890,28786,94212,1403,2667,672,573
36556,69652,6376,21604,18854,4126,2630,1023
95842,25666,32671,47714,20407,5561,1326,534
136891,18078,31289,11369,8965,1281,768,686
78086,94834,9060,45277,7786,5737,803,841
17079,53210,4540,29452,8850,4325,1350,474
66820,55019,17902,36158,34873,2268,813,479
69783,54389,46319,34100,5521,2748,587,802
92332,20278,47813,73166,41633,2304,840,328
58074,58184,50838,28396,24649,3448,750,527
43657,122655,16507,31176,22015,2104,1040,416
102426,99895,78532,72392,5489,2218,1316,1343
34758,32402,11659,36843,5263,5651,629,1032
271827,60439,65734,118526,8720,2107,374,1134
194617,76549,52214,50793,14127,3510,1231,488
127301,39611,28393,74311,2696,3206,723,507
53829,163524,24898,49702,38477,2304,796,1009
225373,30799,12631,9225,29056,1199,1959,691
